TID,EN
TID_IAP_NOT_FOUND,Product not found
TID_TEAM_LOG_TAB,TEAM LOG
TID_TEAM_LOG_TITLE,TEAM LOG
TID_LEON_SALLY_SKIN,САЛЛІ ЛЕОН
TID_LEON_SALLY_SKIN_SHOP,САЛЛІ\nЛЕОН
TID_CARL_LEONARD_SKIN,ЛЕОНАРД КАРЛ
TID_CARL_LEONARD_SKIN_SHOP,ЛЕОНАРД\nКАРЛ
TID_EL_PRIMO_BROWN_SKIN,ЕЛЬ БРАУН
TID_EL_PRIMO_BROWN_SKIN_SHOP,ЕЛЬ БРАУН
TID_PLAYER_CTX_SEND_FRIEND_REQUEST,SEND FRIEND REQUEST
TID_PLAYER_CTX_PROFILE,PROFILE
TID_PLAYER_CTX_KICK,KICK
TID_EMOJIS_TITLE,EMOJIS
TID_SHOP_OFFER_TITLE_NEW_BRAWLER,NEW BRAWLER
TID_SHOP_OFFER_TITLE_NEW_SKIN,NEW SKIN
TID_SHOP_OFFER_TITLE_NEW_BRAWLER_AND_SKIN,NEW BRAWLER & SKIN
TID_SHOP_OFFER_TITLE_BRAWLER_AND_NEW_SKIN,BRAWLER & NEW SKIN
TID_SHOP_OFFER_TITLE_BRAWLIDAYS_GIFT,BRAWLIDAYS GIFT
TID_LONESTAR_09,Four Boroughs
TID_EXTRA_COPYRIGHT,"\nBROWN & FRIENDS, copyright LINE\n"
TID_ESTIMATED_MAINENANCE_TIME,Estimated time <TIME>
TID_IAP_XMAS_19_0,TIS THE SEASON
TID_IAP_XMAS_19_1,HAPPY BRAWLIDAYS
TID_IAP_XMAS_19_2,HAPPY BRAWLIDAYS
TID_IAP_XMAS_19_3,HAPPY BRAWLIDAYS
TID_IAP_XMAS_19_4,HAPPY BRAWLIDAYS
TID_IAP_COINPACK_11_19,"COINS, COINS, COINS"
TID_IAP_NEWYEAR_20,HAPPY NEW YEAR
TID_SKIN_INFO_CAMPAIGN_4_NOT_AVAILABLE,BROWN & FRIENDS skin
TID_HOME_PAGE_PENDING_DONATION,IMPORTANT\nMESSAGE
TID_SETTINGS_BLOCK_FRIEND_REQUESTS,БЛОКУВАТИ ЗАПИТИ НА ДРУЖБУ
TID_SPAWNER_DUDE,МІСТЕР П.
TID_BEE_SNIPER,БЕА
TID_BEE_SNIPER_SHORT_DESC,ВОЇН
TID_BEE_SNIPER_DESC,"Bea loves bugs and hugs. She shoots her mechanical drones at range, and her Super sends forth an angry army of swarming bees!"
TID_BEE_SNIPER_WEAPON,BIG STING
TID_BEE_SNIPER_WEAPON_DESC,"Bea sends out a long range shot that, upon landing, supercharges her next shot to deal epic damage!"
TID_BEE_SNIPER_ULTI,IRON HIVE
TID_BEE_SNIPER_ULTI_DESC,Bea deploys a swarm of drones that move and turn like jets. They slow down any opponents caught in their path.
TID_SPEC_ABI_BEE_SNIPER_1,INSTA BEALOAD
TID_SPEC_ABI_BEE_SNIPER_1_DESC,Instantly supercharge Bea's Big Sting one time if she misses a supercharged shot.
TID_SPEC_ABI_BEE_SNIPER_2,HONEYCOMB
TID_SPEC_ABI_BEE_SNIPER_2_DESC,Bea receives a <c00cc00><VALUE1>%</c> shield while Big Sting is supercharged.
TID_SPEEDY,МАКС
TID_SPEEDY_SHORT_DESC,ПІДТРИМКА
TID_SPEEDY_DESC,Max goes fast! Her attack is a fast-firing blaster. Her Super speeds up her and allies!
TID_SPEEDY_WEAPON,FASTER BLASTER
TID_SPEEDY_WEAPON_DESC,"Max's blaster shoots a bunch of projectiles fast! It holds a lot of rounds, and Max is quick with the reload."
TID_SPEEDY_ULTI,LET'S GO!
TID_SPEEDY_ULTI_DESC,Max momentarily boosts up her movement speed and that of nearby allies. Gotta go fast!
TID_SPEC_ABI_SPEEDY_1,SUPER CHARGED
TID_SPEC_ABI_SPEEDY_1_DESC,Max now charges her Super while moving.
TID_SPEC_ABI_SPEEDY_2,RUN N GUN
TID_SPEC_ABI_SPEEDY_2_DESC,Max reloads faster while moving.
TID_SPEEDY_ULTI_STAT,Speed Boost
TID_QUICK_MESSAGE_CHOOSE_BRAWLER,Нам потрібен бравлер...
TID_QUICK_MESSAGE_CHOOSE_MODE,Давай зіграємо...
TID_QUICK_MESSAGE_CHOOSE_FRIENDLY_LOCATION,Давай зіграємо...
TID_QUICK_MESSAGE_CHANGE_BRAWLERS,Давай змінимо бравлерів...
TID_QUICK_MESSAGE_GOOD_GAME,Хороша гра!
TID_QUICK_MESSAGE_PLAY_AGAIN,Граємо щераз?
TID_QUICK_MESSAGE_WELL_PLAYED,Гарно зіграно
TID_QUICK_MESSAGE_WOW,Вау!
TID_QUICK_MESSAGE_OK,Ок!
TID_QUICK_MESSAGE_GOTTA_GO,"Маю йти, повеселися!"
TID_QUICK_MESSAGE_CHANGE_MODE,Давайте змінимо режим гри!
TID_QUICK_MESSAGE_BYE,До побачення!
TID_QUICK_MESSAGE_CLOSE_MATCH,Це було близько!
TID_QUICK_MESSAGE_READY,Готовий?
TID_QUICK_MESSAGE_READY_GO,Готовий? Давай!
TID_QUICK_MESSAGE_HI,Привіт!
TID_QUICK_MESSAGE_NEED_BREAK,Мені потрібна перерва!
TID_QUICK_MESSAGE_NEED_TO_GO,Мені потрібно бігти. Веселіться народ!
TID_QUICK_MESSAGE_THANKS,Спасибі!
TID_QUICK_MESSAGE_SORRY,Вибачте!
TID_QUICK_MESSAGE_OOPS,Ой
TID_QUICK_MESSAGE_SUGGEST_BRAWLER,Can you play as <c<COLOR>><NAME></c>?
TID_QUICK_MESSAGE_SUGGEST_STARPOWER,Can you use <c<COLOR>><NAME></c>?
TID_QUICK_MESSAGE_SUGGEST_MODE,Let's play <c<COLOR>><NAME></c>!
TID_QUICK_MESSAGE_ASK_BRAWLER,Якого мені взяти бравлера
TID_QUICK_MESSAGE_ASK_MODE,Який режим заграємо
TID_PLAYER_CTX_SUGGEST_BRAWLER_SHORT,SUGGEST
TID_PLAYER_CTX_SUGGEST_CANCEL,CANCEL SUGGESTION
TID_SUGGEST_BRAWLER_TITLE_SHORT,SUGGEST A BRAWLER
TID_SUGGEST_BRAWLER_TITLE,SUGGEST A BRAWLER TO <NAME>
TID_SUGGEST_EVENT_TITLE,SUGGEST EVENT
TID_SUGGEST_EVENT_BUTTON_SHORT,SUGGEST
TID_SUGGEST_EVENT_BUTTON,SUGGEST EVENT
TID_EVENT_SUGGESTION_EXPIRED,This event suggestion has expired
TID_SUGGESTED_BRAWLER_TITLE,BRAWLER SUGGESTION
TID_SUGGESTED_BRAWLER_DESC,Would you like to use <c<COLOR>><NAME></c> as your Brawler?
TID_SUGGESTED_BRAWLER_YES,USE
TID_SUGGESTED_BRAWLER_NO,NO
TID_EVENT_SUGGESTION_TITLE,Select this event?
TID_EVENT_SUGGESTION_DESC,Would you like to play this event?
TID_EVENT_SUGGESTION_YES,YES
TID_EVENT_SUGGESTION_NO,NO
TID_CHAT_LETSPLAY_ITEM,Let's play
TID_CHAT_SWAP_BRAWLER_ITEM,Brawler suggestion to <NAME>:
TID_CHAT_SWAP_BRAWLER_ITEM_YOU,Brawler suggestion to you:
TID_MAINTENANCE_DEEP_LINKS_NOT_AVAILABLE,Not available during maintenance
TID_NATIVE_DIALOG_VERSION_NOT_UP_TO_DATE_STORE_NOT_READY_TITLE,Updating to new version
TID_NATIVE_DIALOG_VERSION_NOT_UP_TO_DATE_STORE_NOT_READY_MESSAGE,We are updating to a new version of the game. Please check back in a short while!
TID_NATIVE_DIALOG_VERSION_NOT_UP_TO_DATE_STORE_NOT_READY_BUTTON,Ok
TID_CONTEXT_MENU_PROFILE,ПРОФІЛЬ
TID_CONTEXT_MENU_SPECTATE,СЛІДКУВАННЯ
TID_CONTEXT_MENU_KICK,ВИГНАТИ
TID_CONTEXT_MENU_SWAP,ЗМІНИТИ СТОРОНУ
TID_CONTEXT_MENU_REMOVE,ВИЛУЧИТИ
TID_CONTEXT_MENU_JOIN,ПРИЄДНАТИСЯ
TID_CONTEXT_MENU_INVITE,ЗАПРОСИТИ ДО КОМАНДИ
TID_CONTEXT_MENU_REPORT,ЗВІСТИТИ
TID_CONTEXT_MENU_SUGGEST_BRAWLER,ЗАПРОПОНУВА БРАВЛЕРА
TID_CONTEXT_MENU_SUGGEST_STAR_POWER,ПРОПОНУВАТИ\nПАСІВКУ
TID_CONTEXT_MENU_CLAN_PROMOTE,ПІДВИЩИТИ
TID_CONTEXT_MENU_CLAN_DEMOTE,ПОНИЗИТИ
TID_CONTEXT_MENU_CLAN_KICK,ВИГНАТИ
TID_CONTEXT_MENU_SEE_PLAYING_TEAMS,ПОКАЗАТИ КОМАНДИ
TID_TEAM_CHAT_TAB_MESSAGE,ЧАТ
TID_TEAM_CHAT_TAB_LOG,ЛОГ
TID_TEAM_CHAT_TAB_SAY,СКАЗАТИ...
TID_TEAM_CHAT_TAB_CHAT,КЛУБ
TID_BUTTON_NAVI_FRIENDS,ДРУЗІ
TID_BUTTON_NAVI_CLAN,КЛУБ
TID_CLAN_POPUP_TITLE,КЛУБ
TID_CLAN_SEARCH_POPUP_TITLE,ПОШУК КЛУБІВ
TID_CLAN_JOIN_POPUP_TITLE,JOIN A CLUB
TID_CLAN_POPUP_TAB_CHAT,CHAT
TID_BUTTON_SCID,СУПЕРСЕЛ ІД
TID_BUTTON_NAVI_CHAT,ЧАТ
TID_BUTTON_NAVI_TEAM,КОМАНДА
TID_GAME_MODE_16,TROPHY THIEVES
TID_GAME_MODE_16_DESC,"Grab trophies from the opposing team and bring them to your base! Match ends when one team has captured two trophies, or when time runs out."
TID_CTF_INTRO_TEXT,Grab two trophies to win!
TID_TEAM_CHAT_NOT_AVAILABLE_NO_TEAM,First create a team to play and chat with friends!
TID_CTF_2,Sidelines
TID_HINT_CTF_STEAL_GIFT,Grab the opposing team's trophy!
TID_HINT_CTF_BRING_GIFT_BACK,Bring the trophy back to your base!
TID_CTF_GOAL,<name>\nstole a trophy!
TID_IAP_XMAS_19_GENERIC,HAPPY BRAWLIDAYS
TID_IAP_XMAS_19_GENERIC_2,TIS THE SEASON
TID_IAP_NEW_YEAR_20,HAPPY NEW YEAR
TID_IAP_COINPACK_GENERIC,"COINS, COINS, COINS"
TID_GOLDRUSH_35,Time Out
TID_GOLDRUSH_36,Green Deck
TID_GOLDRUSH_37,Swirling Storm
TID_GOLDRUSH_38,Excellent Escapade
TID_GOLDRUSH_39,Criss Cross
TID_GOLDRUSH_40,Last Loot
TID_GOLDRUSH_41,Rigid Ridge
TID_GOLDRUSH_42,Classy Chassis
TID_GOLDRUSH_43,Spare Space
TID_GOLDRUSH_44,Shabby Shells
TID_GOLDRUSH_45,Secret Surprise
TID_BANKHEIST_19,Bombs Away
TID_BANKHEIST_20,Tornado Ring
TID_BANKHEIST_21,All Hands
TID_BANKHEIST_22,Counter Cannoneering
TID_BANKHEIST_23,Bandit Cove
TID_BANKHEIST_24,Roiling Seas
TID_BANKHEIST_25,Rich Takings
TID_BANKHEIST_26,Brilliant Burglary
TID_WANTED_18,Звивисті припливи
TID_WANTED_19,Семафорний сигнал
TID_WANTED_20,Земля Ахой
TID_WANTED_21,Ланцюгова реакція
TID_WANTED_22,Міраж
TID_WANTED_23,Глибша небезпека
TID_WANTED_24,Легкий вплив
TID_WANTED_25,Затишні гармати
TID_WANTED_26,Виїзд
TID_BATTLE_ROYALE_34,Центр безпеки
TID_BATTLE_ROYALE_35,Круговий каньйон
TID_BATTLE_ROYALE_36,Кактусова вечірка
TID_BATTLE_ROYALE_37,Ядро Крамбл
TID_BATTLE_ROYALE_38,Полювання за скарбами
TID_BATTLE_ROYALE_39,Зміна курсу
TID_BATTLE_ROYALE_40,Скелясті блоки
TID_BATTLE_ROYALE_41,Точка зору
TID_BATTLE_ROYALE_42,Балістичний удар
TID_BATTLE_ROYALE_43,Стойкий частокол
TID_RICO_CLASSIC_SKIN,КЛАСИЧНИЙ РІКО
TID_RICO_CLASSIC_SKIN_SHOP,КЛАСИЧНИЙ\nРІКО
TID_RICO_BETA_SKIN,РИКОШЕТ
TID_RICO_BETA_SKIN_SHOP,РИКОШЕТ
TID_COLT_CORSAIR_SKIN,КОРСАР КОЛЬТ
TID_COLT_CORSAIR_SKIN_SHOP,КОРСАР\nКОЛЬТ
TID_CARL_CAPTAIN_SKIN,КАПІТАН КАРЛ
TID_CARL_CAPTAIN_SKIN_SHOP,КАПІТАН\nКАРЛ
TID_POCO_PIRATE_SKIN,ПІРАТ ПОКО
TID_POCO_PIRATE_SKIN_SHOP,ПІРАТ\nПОКО
TID_BEA_LADYBUG_SKIN,БОЖА КОРІВКА БЕА
TID_BEA_LADYBUG_SKIN_SHOP,БОЖА КОРІВКА\nБЕА
TID_MAX_BLUE_SKIN,ГТ МАКС
TID_MAX_BLUE_SKIN_SHOP,ГТ\nМАКС
TID_CTF_3,Precious Presents
TID_CTF_4,Holiday Heist
TID_CTF_5,Cheery Getaway
TID_CTF_6,Stocking Stuffer
TID_CTF_7,Naughty Elves
TID_CTF_8,Best Kind Of Gift
TID_CTF_GOAL_MATCH_OVER,<name>\nstole a trophy!\n\nMatch over
TID_STAT_DAMAGE_PER_DRONE,Damage per drone
TID_GOLDRUSH_46,Two Thousand Lakes
TID_EVENT_MODIFIER_11,TILT
TID_EVENT_MODIFIER_DESC_11,"The floor tilts, making movement faster or slower depending on your movement direction!"
TID_QUICK_MESSAGE_ASK_BRAWLER_SPLIT,Which brawler should I pick?
TID_QUICK_MESSAGE_ASK_MODE_SPLIT,What event should we play?
TID_DRILLER,ДЖЕККІ
TID_GAME_MODE_17,HOT ZONE
TID_KING_OF_HILL_1,One Point
TID_KING_OF_HILL_2,Two Point
TID_GAME_MODE_17_DESC,"Capture all the Hot Zones to win!\n\nCapture each point by staying in the Hot Zone. The first team to completely capture all points on the map wins! Both teams can capture Hot Zones at the same time, so make sure to keep the enemy team at bay. If time runs out, the team with the highest completion rate of captured zones wins."
TID_KING_OF_HILL_INTRO_TEXT,Capture all the Hot Zones!
TID_IAP_LNY2020,LUNAR BRAWL
TID_IAP_TGS2020,OFFER
TID_IAP_VD2020,HAPPY VALENTINE'S!
TID_IAP_MAR2020,WELCOME MARCH!
TID_SPAWNER_DUDE_SHORT_DESC,ВОЇН
TID_SPAWNER_DUDE_DESC,Mr. P is a disgruntled luggage handler who angrily hurls suitcases at opponents. His Super calls robo-porters to help him.
TID_SPAWNER_DUDE_WEAPON,"YOUR SUITCASE, SIR!"
TID_SPAWNER_DUDE_WEAPON_DESC,"Mr. P throws a heavy suitcase with angry intent. Upon hitting an obstacle or reaching maximum range, the suitcase bounces and lands with a bang, dealing area damage."
TID_SPAWNER_DUDE_ULTI,PORTERS! ATTACK!
TID_SPAWNER_DUDE_ULTI_DESC,Mr. P deploys the home base for his robo-porters. He has reprogrammed the small penguin-head robots to attack and harass opponents (and unruly guests).
TID_SPEC_ABI_SPAWNER_DUDE_1,HANDLE WITH CARE
TID_SPEC_ABI_SPAWNER_DUDE_1_DESC,"Every <c00cc00><VALUE1></c> seconds, the explosion damage of Mr. P's next overstuffed suitcase is increased by <c00cc00><VALUE2>%</c>."
TID_SPEC_ABI_SPAWNER_DUDE_2,REVOLVING DOOR
TID_SPEC_ABI_SPAWNER_DUDE_2_DESC,All robo-porters from the home base now have <c00cc00><VALUE1>%</c> more health and <c00cc00><VALUE2>%</c> higher damage.
TID_HINT_GET_TO_ZONE,Get inside a Hot Zone!
TID_HERO_INFO_TITLE,BRAWLER STATS
TID_HERO_UPGRADE_TITLE,UPGRADE BRAWLER?
TID_HERO_INFO_GENERICS_HEADER,
TID_HERO_INFO_HERO_SPEED,Movement speed
TID_HERO_INFO_SPEED_0,VERY SLOW
TID_HERO_INFO_SPEED_1,SLOW
TID_HERO_INFO_SPEED_2,NORMAL
TID_HERO_INFO_SPEED_3,FAST
TID_HERO_INFO_SPEED_4,VERY FAST
TID_HERO_INFO_ATTACK_SPEED,Reload speed
TID_HERO_INFO_ATTACK_RANGE,Range
TID_HERO_INFO_ATTACK_DAMAGE,Damage
TID_HERO_INFO_STUN_DURATION,Stun duration
TID_HERO_INFO_LONG_DASH_DELAY,Long dash delay
TID_HERO_INFO_RANGE_0,SHORT
TID_HERO_INFO_RANGE_1,NORMAL
TID_HERO_INFO_RANGE_2,LONG
TID_HERO_INFO_RANGE_3,VERY LONG
TID_HERO_INFO_HEALTH,Health
TID_HERO_INFO_ATTACK_TYPE,Type
TID_HERO_INFO_HEAL,Heal
TID_PROTECT_SCORE_ZONE,Stop enemies entering the Hot Zones!
TID_8BIT_VIRUS_SKIN,ВІРУСНИЙ 8-БІТ
TID_8BIT_VIRUS_SKIN_SHOP,ВІРУСНИЙ\n8-БІТ
TID_TARA_STREET_NINJA_SKIN,ВУЛИЧНА НІНДЗЯ ТАРА
TID_TARA_STREET_NINJA_SKIN_SHOP,ВУЛИЧНА НІНДЗЯ\nТАРА
TID_BIBI_GAMER_SKIN,ГЕРОЇНЯ БІБІ
TID_BIBI_GAMER_SKIN_SHOP,ГЕРОЇНЯ\nБІБІ
TID_PIPER_CUPID_SKIN,КУПІДОН ПАЙПЕР
TID_PIPER_CUPID_SKIN_SHOP,КУПІДОН\nПАЙПЕР
TID_NITA_KOALA_SKIN,КОАЛА НІТА
TID_NITA_KOALA_SKIN_SHOP,КОАЛА\nНІТА
TID_MRP_AGENT_SKIN,АГЕНТ П
TID_MRP_AGENT_SKIN_SHOP,АГЕНТ П
TID_HERO_INFO_ATTACK_DAMAGE_MULTIPLIER,<AMMO> x <DAMAGE>
TID_HERO_INFO_DURATION,Duration
TID_HERO_INFO_CHANGE_CHARACTER_DURATION,Затримка зміни
TID_HERO_INFO_DAMAGE_REDUCTION,Damage reduction
TID_HERO_INFO_LIFE_STEAL,Healing from damage
TID_SPAWN_BUILDING_HEALTH,Home Base health
TID_PORTER_HEALTH,Porter Health
TID_PORTER_DAMAGE,Porter Damage
TID_KING_OF_HILL_3,Temple of Boom
TID_KING_OF_HILL_4,Breakout Brawl
TID_KING_OF_HILL_5,Controller Chaos
TID_KING_OF_HILL_6,Golden Hacks
TID_KING_OF_HILL_7,Street Brawler 2
TID_KING_OF_HILL_8,Primo Kong Jr.
TID_KING_OF_HILL_9,Quarter Pounder
TID_KING_OF_HILL_10,Super Brawl Out
TID_KING_OF_HILL_11,High Score
TID_KING_OF_HILL_12,Coin Op
TID_KING_OF_HILL_13,Game Over
TID_KING_OF_HILL_14,Cheat Code
TID_KING_OF_HILL_15,Marble Brawler
TID_BALL_26,Фліп-флоп
TID_BALL_27,Велосипедний удар
TID_BALL_28,Слов'янські блоки
TID_BALL_29,Товариський матч
TID_HERO_INFO_MEDIUM,MEDIUM
TID_HERO_INFO_AVERAGE,AVERAGE
TID_HERO_UPGRADE_TITLE_LEVEL,UPGRADE TO POWER LEVEL <LVL>?
TID_DOUBLE_POINTS,Double Points!
TID_HERO_INFO_UTILITY_LABEL,UTILITY
TID_HERO_INFO_VERSATILITY_LABEL,VERSATILITY
TID_HERO_INFO_OFFENSE_LABEL,OFFENSE
TID_HERO_INFO_DEFENSE_LABEL,DEFENSE
TID_UNDERTAKER_HAT_SKIN_SHOP,ЦІЛІНДР\nМОРТІС
TID_BARLEY_WIZARD_SKIN_SHOP,ЧАКЛУН\nБАРЛІ
TID_SHOTGUN_STAR_SKIN_SHOP,ЗОРЯНА\nШЕЛІ
TID_QUICK_MESSAGE_ONE_MOMENT,One moment
TID_QUICK_MESSAGE_ASK_STAR_TOKEN_HELP,Could you help me get the star token?
TID_HERO_SORTING_LATEST,Latest Brawlers
TID_IAP_BUNDLE_OFFER,Special Offer
TID_WALLY,СПРАУТ
TID_SETTINGS_FIND_FRIENDS,ГРАЙ З ДРУЗЯМИ
TID_KAKAO_ACCOUNT_BIND_INFO_TITLE,Connect KakaoTalk
TID_KAKAO_ACCOUNT_BIND_INFO,"Connecting your account to KakaoTalk allows you to see your KakaoTalk friends' Brawl Stars accounts in the Friends list. They'll also be able to see your Brawl Stars account, your online status, and invite you to battles. Connect now?"
TID_HERO_SCREEN_ITEM,GADGET
TID_HERO_SCREEN_STAR_POWER,STAR POWER
TID_TYPE_AGE_GATE_EXT_URL_TITLE,NOTICE
TID_TYPE_AGE_GATE_EXT_URL_TEXT,We're about to send you to somewhere outside of Brawl Stars
TID_NOTIFICATION_CC_STARTED,CHAMPIONSHIP CHALLENGE has started!
TID_NOTIFICATION_CC_ENDING,CHAMPIONSHIP CHALLENGE will end soon. You can still beat it!
TID_NOTIFICATION_PSG_STARTED,PSG CUP has started! Beat it to win a free skin!
TID_NOTIFICATION_PSG_ENDING,PSG CUP is about to end. You have still time to win it!
TID_NOTIFICATION_CHALLENGE_STARTED,<CHALLENGE> has started!
TID_NOTIFICATION_CHALLENGE_ENDING,<CHALLENGE> is about to end. You still have time to win it!
TID_NOTIFICATION_COIN_RUSH,New GEM GRAB map available! Come get new rewards!
TID_NOTIFICATION_ATTACK_DEFEND,HEIST is available! Time to win new Rewards!
TID_NOTIFICATION_BOUNTY_HUNTER,BOUNTY is available! Time to win new Rewards!
TID_NOTIFICATION_LASER_BALL,New BRAWL BALL map is open! Time to win new Rewards!
TID_NOTIFICATION_BATTLE_ROYAL,New SHOWDOWN map is open! Be the last to survive!
TID_NOTIFICATION_BOSS,BIG GAME has opened up! Great rewards available!
TID_NOTIFICATION_COOP,ROBO RUMBLE has started! Beat the bots and win rewards!
TID_NOTIFICATION_RAID_BOSS,BOSS FIGHT is back! How far can you get?
TID_NOTIFICATION_ROBO_WARS,SIEGE is available! Time to win new Rewards!
TID_NOTIFICATION_BOSS_RACE,New TAKEDOWN map is open! Time to win new Rewards!
TID_NOTIFICATION_LONE_STAR,New LONE STAR map is open! Time to win new Rewards!
TID_NOTIFICATION_CTF,New PRESENT PLUNDER is open! Time to win new Rewards!
TID_NOTIFICATION_KING_OF_HILL,New HOT ZONE map is available! Time to win new Rewards!
TID_NOTIFICATION_TOWN_CRUSHER,BOSS FIGHT is back! How far can you get?
TID_NOTIFICATION_MULTIPLE_MODES,<PARAM> new maps open! Come and win new Rewards!
TID_NOTIFICATION_CLUB_LEAGUE_EVENT_DAY_STARTED,New CLUB LEAGUE Event day has started. Come and play!
TID_FREE_BOX_AVAILABLE_0,Your free reward is waiting for you!
TID_FREE_BOX_AVAILABLE_1,Claim your free reward now!
TID_FREE_BOX_AVAILABLE_2,Get your free reward before it disappears!
TID_FREE_BOX_AVAILABLE_3,Free rewards are waiting for you!
TID_FREE_BOX_AVAILABLE_4,Get your free reward now!
TID_SEASON_ENDED_NOTI,Trophy League has ended. Rewards are waiting for you!
TID_KEY_BAR_FULL,<PARAM> Tokens available. Time to Battle!
TID_COME_BACK_NOTIFICATION_SMALL,How about another Battle?
TID_COME_BACK_NOTIFICATION_MEDIUM,How about another Battle?
TID_COME_BACK_NOTIFICATION_LARGE,How about another Battle?
TID_POWER_PLAY_NOTIFICATION,POWER PLAY has <PARAM> map open!
TID_NOTIFICATION_NEW_BRAWLER,<PARAM> has arrived! Come check it out!
TID_NOTIFICATION_DOUBLE_TOKENS_STARTED,DOUBLE TOKEN event has started!
TID_NOTIFICATION_DOUBLE_COINS_STARTED,COIN SHOWER event has started! Battle to earn Coins!
TID_A_OUT_OF_B,<VALUE_A>/<VALUE_B>
TID_ENTER_AGE_PROMPT,Будь ласка вкажи свій вік
TID_ENTER_AGE_CONTINUE,ПІДТВЕРДИТИ
TID_ENTER_AGE_GAMEPLAY,Це не змінить твій геймплей\n\nВід перекладачів: насправді якщо тобі нижче 18 ти не зможеш спілкуватися чатом
TID_ENTER_AGE_TIP,Використай слайдер щоб вказати свій вік
TID_ENTER_AGE_TITLE,Вітаємо до Бравл Старсу!
TID_ENTER_AGE_LEGAL,Якщо натиснеш на ПІДТВЕРДИТИ ти приймаєш <TOS> та <PP>
TID_CHALLENGE_WON_TITLE,CHALLENGE WON!
TID_CHALLENGE_REWARD_CLAIM,CLAIM
TID_BUTTON_INVITE_SNS,TEAM INVITE
TID_OFFLINE_FRIENDS,INVITE OFFLINE FRIENDS
TID_BATTLE_END_CHALLENGE_WIN_LABEL,CHALLENGE WON!
TID_BATTLE_END_PSG_CHALLENGE_WIN_INFO,Congrats! You've won the PSG CUP and are a real Brawl Ball Champion!
TID_PSG_TEASER_TITLE,Starting Soon!
TID_PSG_TEASER_INFO,"Get ready for the PSG Cup!\n\nWin <WIN> Brawl Ball matches and get a free PSG Shelly Skin! Play with friends or use the \qLooking for Team\q feature to increase your odds.\n\nThe challenge will only be live for <DURATION> hours, so make it count!"
TID_ACCESSORY_BLOCKED_DEAD,Не можна використовувати гаджет під час респавну!
TID_ACCESSORY_BLOCKED_NO_USES_LEFT,Усі заряди використані!
TID_ACCESSORY_BLOCKED_COOLDOWN,Гаджет все ще на час охолодження!
TID_ACCESSORY_BLOCKED_CARRYING_ITEM,Не можна використовувати під час перенесення предметів!
TID_ACCESSORY_BLOCKED_TARGET_MISSING,Ціль не доступна!
TID_ACCESSORY_BLOCKED_TARGET_TOO_FAR,Ціль надто далеко!
TID_ACCESSORY_BLOCKED_NO_AMMO,Не вистачає патронів!
TID_ACCESSORY_BLOCKED_HOLDING_BRAWL_BALL,"Не можна активувати, тримаючи м'яч!"
TID_ACCESSORY_BLOCKED_MISSING_TURRET,Неможливо активувати без вежі!
TID_ACCESSORY_BLOCKED_TURRET_TOO_FAR,Турель занадто далеко!
TID_ACCESSORY_BLOCKED_MISSING_BEAR,Неможливо активувати без ведмедя!
TID_ACCESSORY_BLOCKED_BEAR_TOO_FAR,Ведмідь занадто далеко!
TID_ACCESSORY_BLOCKED_NO_ENEMY_IN_RANGE,Жодних ворогів у радіусі дії!
TID_ACCESSORY_BLOCKED_BUSH_TOO_FAR,Жодних кущів у межах досяжності!
TID_ACCESSORY_BLOCKED_NO_PORTERS_IN_RANGE,Жодних носіїв у межах досяжності!
TID_ACCESSORY_BLOCKED_FULL_HEALTH,Вже при повному здоров'ї!
TID_ACCESSORY_BLOCKED_REQUIRES_BULLDOZER,Бульдозер має бути активним!
TID_ACCESSORY_BLOCKED_REQUIRES_WALL,Потрібен активний хедж!
TID_ACCESSORY_BLOCKED_ULTI_ALREADY_CHARGED,Супер вже заряджено!
TID_ACCESSORY_BLOCKED_MISSING_LOU_ULTI,Потрібен сироп на землі!
TID_ACCESSORY_BLOCKED_MISSING_OPPONENT_IN_AREA,Немає суперників на сиропі!
TID_ACCESSORY_BLOCKED_REQUIRES_RAGE,Потрібно більше злості!
TID_ACCESSORY_BLOCKED_SUPER_REQUIRED,Потрібен супер заряд!
TID_ACCESSORY_BLOCKED_REQUIRES_MECHA,Потрібна форма МЕХА!
TID_ACCESSORY_BLOCKED_REQUIRES_DUPLICATE,Потрібне Его Лоли!
TID_ACCESSORY_BLOCKED_DUPLICATE_TOO_FAR,Его Лоли занадто далеко!
TID_WALLY_SHORT_DESC,ПІДТРИМКА
TID_WALLY_DESC,"Sprout was built to plant life, launching bouncy Seed Bombs with reckless love. Its Super creates a plant-based obstacle!"
TID_WALLY_WEAPON,SEED BOMB
TID_WALLY_WEAPON_DESC,"Sprout propels a ball of seeds that bounces around before bursting with a bang! If it makes contact with enemies, it explodes on impact."
TID_WALLY_ULTI,HEDGE
TID_WALLY_ULTI_DESC,"Sprout uses its Super Seed to grow a thick vine hedge, creating an impassable though temporary obstacle."
TID_SPEC_ABI_WALLY_1,OVERGROWTH
TID_SPEC_ABI_WALLY_1_DESC,"Every <c00cc00><VALUE1></c> seconds, the next Seed Bomb will explode with a larger explosion radius."
TID_SPEC_ABI_WALLY_2,PHOTOSYNTHESIS
TID_SPEC_ABI_WALLY_2_DESC,"Sprout activates a shield, partially protecting itself from all attacks while inside a bush."
TID_DRILLER_SHORT_DESC,ТАНК
