TID,DE
TID_EVENT_MODIFIER_10,КОМАНДА:\n<NUM>
TID_EVENT_MODIFIER_DESC_10,СОЦІАЛЬНІ МЕРЕЖІ
TID_STAT_DAMAGE_PER_HALF_SECOND,Учасники <NUM>/<TOTAL>
TID_FRIENDS_PAGE_BUTTON_INVITE,Чат
TID_TEAM_ROOM_CODE,ВІДЬМА ШЕЛЛІ
TID_TEAM_ROOM_CODE_SHORT,ВІДЬМА\nSHELLY
TID_FRIENDS_PAGE_SOCIAL_NETWORKS,ПЕРЕВЕРТЕНЬ ЛЕОН
TID_CLAN_TAB_MEMBERS,ПЕРЕВЕРТЕНЬ\nLEON
TID_CLAN_TAB_CHAT,КАЛАВЕРА ПАЙПЕР
TID_SHELLY_WITCH_SKIN,КАЛАВЕРА\nPIPER
TID_SHELLY_WITCH_SKIN_SHOP,ДІДЖЕЙ ФРЕНК
TID_LEON_WEREWOLF_SKIN,DJ\nFRANK
TID_LEON_WEREWOLF_SKIN_SHOP,ЛИЦАР ТІНЕЙ ДЖЕССІ
TID_PIPER_CALAVERA_SKIN,ЛИЦАР ТІНЕЙ\nJESSIE
TID_PIPER_CALAVERA_SKIN_SHOP,- Виготовлена на замовлення модель скандаліста
TID_FRANK_DJ_SKIN,- Виготовлена на замовлення модель улюбленця
TID_FRANK_DJ_SKIN_SHOP,- Виготовлена на замовлення модель турелі
TID_JESSIE_DARK_KNIGHT_SKIN,- Настроювані ефекти
TID_JESSIE_DARK_KNIGHT_SKIN_SHOP,- Користувацькі анімації
TID_SKIN_FEATURE_MODEL,- Користувальницькі звуки
TID_SKIN_FEATURE_PET,- Користувальницький голос
TID_SKIN_FEATURE_TURRET,- Користувацька текстура
TID_SKIN_FEATURE_VFX,- Нестандартна забарвлення
TID_SKIN_FEATURE_ANIM,"Коли ви граєте в POWER PLAY, підбір матчів заснований на окулярах, які у вас є в даний момент в сезоні POWER PLAY."
TID_SKIN_FEATURE_SFX,або
TID_SKIN_FEATURE_VOICE,Занедбані Водоспади
TID_SKIN_FEATURE_TEXTURE,Берегової постріл
TID_SKIN_FEATURE_COLOR,Не так безпечно
TID_HINT_44,Вкрадена доблесть
TID_OPTIONAL_OR,Цвітна капуста
TID_LONESTAR_01,Близький дзвінок
TID_LONESTAR_02,Спінінг Соло
TID_LONESTAR_03,Перехрестя
TID_LONESTAR_04,Пікова нафту
TID_LONESTAR_05,Кукушкін переворот
TID_LONESTAR_06,Металобрухт
TID_LONESTAR_07,"Фанк, Панк"
TID_LONESTAR_08,Квадрат Вимкнено
TID_BOSS_RACE_8,Алея Алігаторів
TID_BOSS_RACE_9,Щільна Штука
TID_BOSS_RACE_10,Привіт!
TID_BOSS_RACE_11,ЗАПРОШУЮ
TID_BOSS_RACE_12,"Пропозиції ще не завантажені. Будь ласка, спробуйте ще раз пізніше."
TID_BOSS_RACE_13,Товар не знайдений
TID_BOSS_RACE_14,ЖУРНАЛ КОМАНД
TID_CONTACT_US_WELCOME_TEXT,ЖУРНАЛ КОМАНД
TID_TEAM_CHAT_POPUP_INVITE,САЛЛІ ЛЕОН
TID_IAPS_NOT_READY,САЛЛІ\нЛЕОН
TID_IAP_NOT_FOUND,ЛЕОНАРД КАРЛ
TID_TEAM_LOG_TAB,ЛЕОНАРД Карл
TID_TEAM_LOG_TITLE,ЕЛЬ БРАУН
TID_LEON_SALLY_SKIN,ЕЛЬ БРАУН
TID_LEON_SALLY_SKIN_SHOP,ВІДПРАВИТИ ЗАПИТ В ДРУЗІ
TID_CARL_LEONARD_SKIN,Профіль
TID_CARL_LEONARD_SKIN_SHOP,ПИПЕЦЬ
TID_EL_PRIMO_BROWN_SKIN,ЕМОДЗІ
TID_EL_PRIMO_BROWN_SKIN_SHOP,НОВИЙ СКАНДАЛІСТ
TID_PLAYER_CTX_SEND_FRIEND_REQUEST,НОВА ШКІРА
TID_PLAYER_CTX_PROFILE,НОВИЙ СКАНДАЛІСТ І ШКІРА
TID_PLAYER_CTX_KICK,СКАНДАЛІСТ І НОВА ШКІРА
TID_EMOJIS_TITLE,ПОДАРУНОК BRAWLIDAYS
TID_SHOP_OFFER_TITLE_NEW_BRAWLER,Чотири райони
TID_SHOP_OFFER_TITLE_NEW_SKIN,"\nBROWN & FRIENDS, ЛІНІЯ авторських прав \ n"
TID_SHOP_OFFER_TITLE_NEW_BRAWLER_AND_SKIN,Розрахунковий час <ЧАС>
TID_SHOP_OFFER_TITLE_BRAWLER_AND_NEW_SKIN,ЗАРАЗ САМЕ ЧАС
TID_SHOP_OFFER_TITLE_BRAWLIDAYS_GIFT,ЩАСЛИВІ ДНІ БІЙКИ
TID_LONESTAR_09,ЩАСЛИВІ ДНІ БІЙКИ
TID_EXTRA_COPYRIGHT,ЩАСЛИВІ ДНІ БІЙКИ
TID_ESTIMATED_MAINENANCE_TIME,ЩАСЛИВІ ДНІ БІЙКИ
TID_IAP_XMAS_19_0,"МОНЕТИ, МОНЕТИ, МОНЕТИ"
TID_IAP_XMAS_19_1,З НАСТУПАЮЧИМ НОВИМ РОКОМ
TID_IAP_XMAS_19_2,Шкіра BROWN & FRIENDS
TID_IAP_XMAS_19_3,ВАЖЛИВО\nMESSAGE
TID_IAP_XMAS_19_4,БЛОКУВАТИ ЗАПИТИ В ДРУЗІ
TID_IAP_COINPACK_11_19,МІСТЕР П.
TID_IAP_NEWYEAR_20,БЕА
TID_SKIN_INFO_CAMPAIGN_4_NOT_AVAILABLE,ДИЛЕР УШКОДЖЕНЬ
TID_HOME_PAGE_PENDING_DONATION,"Беа обожнює жуків і обійми. Вона стріляє своїми механічними дрона в упор, і її Супер посилає вперед розлючену армію літаючих довкола бджіл!"
TID_SETTINGS_BLOCK_FRIEND_REQUESTS,ВЕЛИКЕ ЖАЛО
TID_SPAWNER_DUDE,"Беа посилає дальній ""постріл"", який при приземленні заряджає її наступний постріл, щоб завдати епічний шкоди!"
TID_BEE_SNIPER,ЗАЛІЗНИЙ ВУЛИК
TID_BEE_SNIPER_SHORT_DESC,"Беа запускає рой дронов, які рухаються і обертаються, як реактивні літаки. Вони уповільнюють будь-якого супротивника, який опинився на їх шляху."
TID_BEE_SNIPER_DESC,INSTA BEALOAD
TID_BEE_SNIPER_WEAPON,"Миттєво зарядіть Велике жало Беа один раз, якщо вона пропустить постріл з наддувом."
TID_BEE_SNIPER_WEAPON_DESC,СОТИ
TID_BEE_SNIPER_ULTI,"Bea отримує щит <c00cc00><VALUE1>%</c>, в той час як Big Sting заряджається."
TID_BEE_SNIPER_ULTI_DESC,МАКС
TID_SPEC_ABI_BEE_SNIPER_1,ПІДТРИМКА
TID_SPEC_ABI_BEE_SNIPER_1_DESC,Макс йде швидко! Її атака-це скорострільний бластер. Її Супер прискорює її і союзників!
TID_SPEC_ABI_BEE_SNIPER_2,ШВИДКИЙ БЛАСТЕР
TID_SPEC_ABI_BEE_SNIPER_2_DESC,"Бластер Макса швидко стріляє купою снарядів! У ньому багато патронів, а Макс швидко перезаряджається."
TID_SPEEDY,ПОЇХАЛИ!
TID_SPEEDY_SHORT_DESC,Макс на мить збільшує швидкість свого пересування та швидкість найближчих союзників. Треба їхати швидко!
TID_SPEEDY_DESC,СУПЕР ЗАРЯДЖЕНИЙ
TID_SPEEDY_WEAPON,Макс тепер заряджає її Супер під час руху.
TID_SPEEDY_WEAPON_DESC,RUN N GUN
TID_SPEEDY_ULTI,Макс перезаряджається швидше під час руху.
TID_SPEEDY_ULTI_DESC,Прискорення швидкості
TID_SPEC_ABI_SPEEDY_1,Нам потрібен скандаліст...
TID_SPEC_ABI_SPEEDY_1_DESC,Давай пограємо...
TID_SPEC_ABI_SPEEDY_2,Давай пограємо...
TID_SPEC_ABI_SPEEDY_2_DESC,Давайте змінимо скандалістів!
TID_SPEEDY_ULTI_STAT,Гарна гра!
TID_QUICK_MESSAGE_CHOOSE_BRAWLER,Знову грати?
TID_QUICK_MESSAGE_CHOOSE_MODE,Добре зіграно!
TID_QUICK_MESSAGE_CHOOSE_FRIENDLY_LOCATION,.
TID_QUICK_MESSAGE_CHANGE_BRAWLERS,Ок!
TID_QUICK_MESSAGE_GOOD_GAME,Треба йти. Отримуйте задоволення!
TID_QUICK_MESSAGE_PLAY_AGAIN,Давайте змінимо режим гри!
TID_QUICK_MESSAGE_WELL_PLAYED,Поки!
TID_QUICK_MESSAGE_WOW,Це було близько!
TID_QUICK_MESSAGE_OK,Готові?
TID_QUICK_MESSAGE_GOTTA_GO,Готові? Поїхали!
TID_QUICK_MESSAGE_CHANGE_MODE,Привіт!
TID_QUICK_MESSAGE_BYE,Мені потрібна перерва!
TID_QUICK_MESSAGE_CLOSE_MATCH,"Мені треба бігти. Веселіться, хлопці!"
TID_QUICK_MESSAGE_READY,Спасибі!
TID_QUICK_MESSAGE_READY_GO,Вибачте!
TID_QUICK_MESSAGE_HI,Упс
TID_QUICK_MESSAGE_NEED_BREAK,Ви Можете грати як <c<COLOR>><NAME></c>?
TID_QUICK_MESSAGE_NEED_TO_GO,Ви Можете використовувати <c<COLOR>><NAME></c>?
TID_QUICK_MESSAGE_THANKS,Давайте пограємо <c<COLOR>><NAME></c>!
TID_QUICK_MESSAGE_SORRY,Будь скандаліста мені вибрати?
TID_QUICK_MESSAGE_OOPS,Яка подія ми повинні зіграти?
TID_QUICK_MESSAGE_SUGGEST_BRAWLER,ПРОПОНУЮ
TID_QUICK_MESSAGE_SUGGEST_STARPOWER,СКАСУВАТИ ПРОПОЗИЦІЮ
TID_QUICK_MESSAGE_SUGGEST_MODE,ЗАПРОПОНУЙТЕ СКАНДАЛІСТА
TID_QUICK_MESSAGE_ASK_BRAWLER,ЗАПРОПОНУЙТЕ СКАНДАЛІСТОВІ <ІМ'Я>
TID_QUICK_MESSAGE_ASK_MODE,ЗАПРОПОНУВАТИ ПОДІЯ
TID_PLAYER_CTX_SUGGEST_BRAWLER_SHORT,ПРОПОНУЮ
TID_PLAYER_CTX_SUGGEST_CANCEL,ЗАПРОПОНУВАТИ ПОДІЯ
TID_SUGGEST_BRAWLER_TITLE_SHORT,Термін дії цієї пропозиції про подію минув
TID_SUGGEST_BRAWLER_TITLE,ПРОПОЗИЦІЯ СКАНДАЛІСТА
TID_SUGGEST_EVENT_TITLE,Хотіли б ви використовувати <c<COLOR>><NAME></c> в якості свого Скандаліста?
TID_SUGGEST_EVENT_BUTTON_SHORT,ВИКОРИСТАННЯ
TID_SUGGEST_EVENT_BUTTON,НЕМАЄ
TID_EVENT_SUGGESTION_EXPIRED,Виберіть це подія?
TID_SUGGESTED_BRAWLER_TITLE,Хотіли б ви зіграти у цій події?
TID_SUGGESTED_BRAWLER_DESC,ТАК
TID_SUGGESTED_BRAWLER_YES,НЕМАЄ
TID_SUGGESTED_BRAWLER_NO,Давай пограємо
TID_EVENT_SUGGESTION_TITLE,Пропозиція скандаліста <ІМ'Я>:
TID_EVENT_SUGGESTION_DESC,Пропозиція скандаліста для вас:
TID_EVENT_SUGGESTION_YES,Недоступна під час технічного обслуговування
TID_EVENT_SUGGESTION_NO,Оновлення до нової версії
TID_CHAT_LETSPLAY_ITEM,"Ми оновлюємо нову версію гри. Будь ласка, перевірте ще раз найближчим часом!"
TID_CHAT_SWAP_BRAWLER_ITEM,ОК
TID_CHAT_SWAP_BRAWLER_ITEM_YOU,Профіль
TID_MAINTENANCE_DEEP_LINKS_NOT_AVAILABLE,ГЛЯДАЧ
TID_NATIVE_DIALOG_VERSION_NOT_UP_TO_DATE_STORE_NOT_READY_TITLE,ПИПЕЦЬ
TID_NATIVE_DIALOG_VERSION_NOT_UP_TO_DATE_STORE_NOT_READY_MESSAGE,СТОРОНА ПІДКАЧКИ
TID_NATIVE_DIALOG_VERSION_NOT_UP_TO_DATE_STORE_NOT_READY_BUTTON,ВИДАЛИТИ
TID_CONTEXT_MENU_PROFILE,ПРИЄДНУЙТЕСЬ ДО КОМАНДИ
TID_CONTEXT_MENU_SPECTATE,ЗАПРОСИТИ В КОМАНДУ
TID_CONTEXT_MENU_KICK,Повідомити
TID_CONTEXT_MENU_SWAP,ЗАПРОПОНУЙТЕ СКАНДАЛІСТА
TID_CONTEXT_MENU_REMOVE,ЗАПРОПОНУЙТЕ\nSTAR POWER
TID_CONTEXT_MENU_JOIN,СПРИЯТИ
TID_CONTEXT_MENU_INVITE,РОЗЖАЛУВАТИ
TID_CONTEXT_MENU_REPORT,ПИПЕЦЬ
TID_CONTEXT_MENU_SUGGEST_BRAWLER,ПОКАЗАТИ КОМАНДИ
TID_CONTEXT_MENU_SUGGEST_STAR_POWER,Чат
TID_CONTEXT_MENU_CLAN_PROMOTE,ЖУРНАЛ
TID_CONTEXT_MENU_CLAN_DEMOTE,СКАЖИ...
TID_CONTEXT_MENU_CLAN_KICK,Чат
TID_CONTEXT_MENU_SEE_PLAYING_TEAMS,Друзі
TID_TEAM_CHAT_TAB_MESSAGE,Клуб
TID_TEAM_CHAT_TAB_LOG,Клуб
TID_TEAM_CHAT_TAB_SAY,ПОШУКОВІ КЛУБИ
TID_TEAM_CHAT_TAB_CHAT,ВСТУПАЙТЕ В КЛУБ
TID_BUTTON_NAVI_FRIENDS,Чат
TID_BUTTON_NAVI_CLAN,ІДЕНТИФІКАТОР СУПЕРЯЧЕЙКИ
TID_CLAN_POPUP_TITLE,Чат
TID_CLAN_SEARCH_POPUP_TITLE,Команда
TID_CLAN_JOIN_POPUP_TITLE,ТРОФЕЙНІ ЗЛОДІЇ
TID_CLAN_POPUP_TAB_CHAT,"Захопіть трофеї від команди супротивника і принесіть їх на свою базу! Матч закінчується, коли одна команда захопила два трофеї або коли час минув."
TID_BUTTON_SCID,"Візьміть два трофеї, щоб виграти!"
TID_BUTTON_NAVI_CHAT,"Спочатку створіть команду, щоб грати і спілкуватися з друзями!"
TID_BUTTON_NAVI_TEAM,Бічні лінії
TID_GAME_MODE_16,Захопіть трофей команди супротивника!
TID_GAME_MODE_16_DESC,Принесіть трофей назад на свою базу!
TID_CTF_INTRO_TEXT,<ім'я>\nstole трофей!
TID_TEAM_CHAT_NOT_AVAILABLE_NO_TEAM,ЩАСЛИВІ ДНІ БІЙКИ
TID_CTF_2,ЗАРАЗ САМЕ ЧАС
TID_HINT_CTF_STEAL_GIFT,З НАСТУПАЮЧИМ НОВИМ РОКОМ
TID_HINT_CTF_BRING_GIFT_BACK,"МОНЕТИ, МОНЕТИ, МОНЕТИ"
TID_CTF_GOAL,Тайм-аут
TID_IAP_XMAS_19_GENERIC,Зелена Колода
TID_IAP_XMAS_19_GENERIC_2,Кружащийся Шторм
TID_IAP_NEW_YEAR_20,Відмінна ескапада
TID_IAP_COINPACK_GENERIC,Хрест Навхрест
TID_GOLDRUSH_35,Остання здобич
TID_GOLDRUSH_36,Жорсткий Гребінь
TID_GOLDRUSH_37,Класне Шасі
TID_GOLDRUSH_38,Вільне місце
TID_GOLDRUSH_39,Облізлі Черепашки
TID_GOLDRUSH_40,Таємний Сюрприз
TID_GOLDRUSH_41,Бомби проти
TID_GOLDRUSH_42,Кільце Торнадо
TID_GOLDRUSH_43,Всі Руки
TID_GOLDRUSH_44,Зустрічна Канонада
TID_GOLDRUSH_45,Бандитська Бухта
TID_BANKHEIST_19,Вируючі Моря
TID_BANKHEIST_20,Багата здобич
TID_BANKHEIST_21,Блискуче Пограбування
TID_BANKHEIST_22,Звивисті Припливи і Відливи
TID_BANKHEIST_23,Семафорний сигнал
TID_BANKHEIST_24,Земля Ахой
TID_BANKHEIST_25,Ланцюгова реакція
TID_BANKHEIST_26,Міраж
TID_WANTED_18,Глибока небезпека
TID_WANTED_19,Легкий удар
TID_WANTED_20,Затишні Гармати
TID_WANTED_21,Вихід
TID_WANTED_22,Центр безпеки
TID_WANTED_23,Круговий Каньйон
TID_WANTED_24,Кактусова Вечірка
TID_WANTED_25,Серцевина Кришиться
TID_WANTED_26,Полювання за скарбами
TID_BATTLE_ROYALE_34,Зміна курсу
TID_BATTLE_ROYALE_35,Скельні Брили
TID_BATTLE_ROYALE_36,Точка зору
TID_BATTLE_ROYALE_37,Балістичний удар
TID_BATTLE_ROYALE_38,Приземкуваті Частоколи
TID_BATTLE_ROYALE_39,КЛАСИЧНИЙ РІКО
TID_BATTLE_ROYALE_40,КЛАСИЧНИЙ\nRICO
TID_BATTLE_ROYALE_41,РИКОШЕТ
TID_BATTLE_ROYALE_42,РИКОШЕТ
TID_BATTLE_ROYALE_43,КОРСАР КОЛЬТ
TID_RICO_CLASSIC_SKIN,КОРСАР\nCOLT
TID_RICO_CLASSIC_SKIN_SHOP,КАПІТАН КАРЛ
TID_RICO_BETA_SKIN,КАПІТАН\пКАРЛ
TID_RICO_BETA_SKIN_SHOP,ПІРАТСЬКИЙ ПОКО
TID_COLT_CORSAIR_SKIN,ПІРАТ\NPoco
TID_COLT_CORSAIR_SKIN_SHOP,БОЖА КОРІВКА БЕА
TID_CARL_CAPTAIN_SKIN,БОЖА КОРІВКА\nBEA
TID_CARL_CAPTAIN_SKIN_SHOP,GT MAX
TID_POCO_PIRATE_SKIN,GT\nMAX
TID_POCO_PIRATE_SKIN_SHOP,Дорогоцінні подарунки
TID_BEA_LADYBUG_SKIN,Святкове Пограбування
TID_BEA_LADYBUG_SKIN_SHOP,Веселий Втеча
TID_MAX_BLUE_SKIN,Наповнювач для панчіх
TID_MAX_BLUE_SKIN_SHOP,Пустотливі Ельфи
TID_CTF_3,Кращий вид подарунка
TID_CTF_4,<ім'я>\nstole трофей!\n\пматч закінчився
TID_CTF_5,Втрати на один безпілотник
TID_CTF_6,Дві тисячі озер
TID_CTF_7,НАХИЛ
TID_CTF_8,"Підлогу нахиляється, роблячи рух швидше або повільніше в залежності від напрямку вашого руху!"
TID_CTF_GOAL_MATCH_OVER,Будь скандаліста мені вибрати?
TID_STAT_DAMAGE_PER_DRONE,Яка подія ми повинні зіграти?
TID_GOLDRUSH_46,ДЖЕКІ
TID_EVENT_MODIFIER_11,ГАРЯЧА ЗОНА
TID_EVENT_MODIFIER_DESC_11,Одне очко
TID_QUICK_MESSAGE_ASK_BRAWLER_SPLIT,Двоточковий
TID_QUICK_MESSAGE_ASK_MODE_SPLIT,"Захопіть всі гарячі зони, щоб виграти! візьміть кожну точку, залишаючись в Гарячій зоні. Перемагає перша команда, яка повністю захопить всі точки на карті! Обидві команди можуть захоплювати Гарячі зони одночасно, тому стежте за тим, щоб тримати ворожу команду в страху. Якщо час закінчується, виграє команда з найвищим показником завершення захоплених зон."
TID_DRILLER,Захопіть всі гарячі зони!
TID_GAME_MODE_17,МІСЯЧНА БІЙКА
TID_KING_OF_HILL_1,Пропозиція
TID_KING_OF_HILL_2,З ДНЕМ СВЯТОГО ВАЛЕНТИНА!
TID_GAME_MODE_17_DESC,ЛАСКАВО ПРОСИМО МАРШ!
TID_KING_OF_HILL_INTRO_TEXT,ДИЛЕР УШКОДЖЕНЬ
TID_IAP_LNY2020,"Містер Пі-незадоволений обробник багажу, який сердито кидає валізи в супротивників. Його Начальник кличе на допомогу роботів-носильників."
TID_IAP_TGS2020,"ВАШ ЧЕМОДАН, СЕР!"
TID_IAP_VD2020,"Містер П зі злістю кидає важкий чемодан. При ударі об перешкоду або досягнення максимальної дальності валізу відскакує і з гуркотом приземляється, завдаючи шкоди по площі."
TID_IAP_MAR2020,НОСИЛЬНИКИ! АТАКА!
TID_SPAWNER_DUDE_SHORT_DESC,"Містер Пі розгортає домашню базу для своїх роботів-носильників. Він перепрограмував маленьких роботів з головами пінгвінів, щоб вони нападали і переслідували противників (і неслухняних гостей)."
TID_SPAWNER_DUDE_DESC,ЗВЕРТАЙТЕСЯ З НИМ ОБЕРЕЖНО
TID_SPAWNER_DUDE_WEAPON,Кожні <c00cc00><VALUE1></c> секунди шкоди від вибуху наступного переповненого валізи містера П збільшується на <c00cc00><VALUE2>%</c>.
TID_SPAWNER_DUDE_WEAPON_DESC,ОБЕРТОВІ ДВЕРІ
TID_SPAWNER_DUDE_ULTI,Всі роботи-носильники з домашньої бази тепер мають <c00cc00><VALUE1>%більше здоров'я і <c00cc00><VALUE2>%більше утрати.
TID_SPAWNER_DUDE_ULTI_DESC,Потрапте в Гарячу зону!
TID_SPEC_ABI_SPAWNER_DUDE_1,СТАТИСТИКА БЕШКЕТНИКА
TID_SPEC_ABI_SPAWNER_DUDE_1_DESC,АПГРЕЙД СКАНДАЛІСТА?
TID_SPEC_ABI_SPAWNER_DUDE_2,Швидкість руху
TID_SPEC_ABI_SPAWNER_DUDE_2_DESC,ДУЖЕ ПОВІЛЬНО
TID_HINT_GET_TO_ZONE,ПОВІЛЬНО
TID_HERO_INFO_TITLE,Нормальний
TID_HERO_UPGRADE_TITLE,ШВИДКО
TID_HERO_INFO_GENERICS_HEADER,ДУЖЕ ШВИДКО
TID_HERO_INFO_HERO_SPEED,Швидкість перезарядки
TID_HERO_INFO_SPEED_0,Діапазон
TID_HERO_INFO_SPEED_1,Збиток
TID_HERO_INFO_SPEED_2,Тривалість оглушення
TID_HERO_INFO_SPEED_3,Довга затримка тире
TID_HERO_INFO_SPEED_4,КОРОТКО
TID_HERO_INFO_ATTACK_SPEED,Нормальний
TID_HERO_INFO_ATTACK_RANGE,ДОВГО
TID_HERO_INFO_ATTACK_DAMAGE,ДУЖЕ ДОВГО
TID_HERO_INFO_STUN_DURATION,Охорона здоров'я
TID_HERO_INFO_LONG_DASH_DELAY,Тип
TID_HERO_INFO_RANGE_0,Зцілити
TID_HERO_INFO_RANGE_1,"Зупиніть ворогів, які потрапляють в Гарячі зони!"
TID_HERO_INFO_RANGE_2,ВІРУС 8-БІТНИЙ
TID_HERO_INFO_RANGE_3,ВІРУС\n8-БІТ
TID_HERO_INFO_HEALTH,ВУЛИЦЯ НІНДЗЯ ТАРА
TID_HERO_INFO_ATTACK_TYPE,ВУЛИЦЯ НІНДЗЯ\nTARA
TID_HERO_INFO_HEAL,ГЕРОЇНЯ БІБІ
TID_PROTECT_SCORE_ZONE,HEROINE\nBIBI
TID_8BIT_VIRUS_SKIN,КУПІДОН ПАЙПЕР
TID_8BIT_VIRUS_SKIN_SHOP,АМУР\Гадюка
TID_TARA_STREET_NINJA_SKIN,КОАЛА НІТА
TID_TARA_STREET_NINJA_SKIN_SHOP,КОАЛА\нНИТА
TID_BIBI_GAMER_SKIN,АГЕНТ П
TID_BIBI_GAMER_SKIN_SHOP,АГЕНТ П
TID_PIPER_CUPID_SKIN,<БОЄПРИПАСИ> x <ШКОДИ>
TID_PIPER_CUPID_SKIN_SHOP,Тривалість
TID_NITA_KOALA_SKIN,Зменшення шкоди
TID_NITA_KOALA_SKIN_SHOP,Зцілення від пошкоджень
TID_MRP_AGENT_SKIN,Здоров'я домашньої бази
TID_MRP_AGENT_SKIN_SHOP,Здоров'я Портера
TID_HERO_INFO_ATTACK_DAMAGE_MULTIPLIER,Пошкодження Портера
TID_HERO_INFO_DURATION,Храм Буму
TID_HERO_INFO_DAMAGE_REDUCTION,Проривна Бійка
TID_HERO_INFO_LIFE_STEAL,Контролер Chaos
TID_SPAWN_BUILDING_HEALTH,Золоті Хакі
TID_PORTER_HEALTH,Вуличний скандаліст 2
TID_PORTER_DAMAGE,Прімо Конг-молодший.
TID_KING_OF_HILL_3,Чверть фунта
TID_KING_OF_HILL_4,Супер Бійка Вийшла
TID_KING_OF_HILL_5,Високий бал
TID_KING_OF_HILL_6,Монета Op
TID_KING_OF_HILL_7,Гра закінчена
TID_KING_OF_HILL_8,Чит-код
TID_KING_OF_HILL_9,Мармуровий Скандаліст
TID_KING_OF_HILL_10,Фліп-флоп
TID_KING_OF_HILL_11,Велосипедний удар
TID_KING_OF_HILL_12,Слов'янські Блоки
TID_KING_OF_HILL_13,Товариський матч
TID_KING_OF_HILL_14,Середній
TID_KING_OF_HILL_15,СЕРЕДНІЙ
TID_BALL_26,АПГРЕЙД ДО РІВНЯ ПОТУЖНОСТІ <LVL>?
TID_BALL_27,Подвійні окуляри!
TID_BALL_28,КОРИСНІСТЬ
TID_BALL_29,УНІВЕРСАЛЬНІСТЬ
TID_HERO_INFO_MEDIUM,ОБРАЗА
TID_HERO_INFO_AVERAGE,ОБОРОНА
TID_HERO_UPGRADE_TITLE_LEVEL,ЦИЛІНДР\nMORTIS
TID_DOUBLE_POINTS,ЧАРІВНИК\nBARLEY
TID_HERO_INFO_UTILITY_LABEL,ЗІРКА\nSHELLY
TID_HERO_INFO_VERSATILITY_LABEL,Один момент
TID_HERO_INFO_OFFENSE_LABEL,Не могли б ви допомогти мені отримати зоряний жетон?
TID_HERO_INFO_DEFENSE_LABEL,Останні Скандалісти
TID_UNDERTAKER_HAT_SKIN_SHOP,Спеціальна пропозиція
TID_BARLEY_WIZARD_SKIN_SHOP,РОСТОК
TID_SHOTGUN_STAR_SKIN_SHOP,ГРАЙТЕ З ДРУЗЯМИ
TID_QUICK_MESSAGE_ONE_MOMENT,Підключити KakaoTalk
TID_QUICK_MESSAGE_ASK_STAR_TOKEN_HELP,"Підключення вашого облікового запису до KakaoTalk дозволяє вам бачити акаунти ваших друзів KakaoTalk Brawl Stars в списку друзів. Вони також зможуть побачити ваш аккаунт Brawl Stars, ваш статус і запросити вас на битви. Підключитися прямо зараз?"
TID_HERO_SORTING_LATEST,ГАДЖЕТ
TID_IAP_BUNDLE_OFFER,ЗОРЯНА СИЛА
TID_WALLY,ПОВІДОМЛЕННЯ
TID_SETTINGS_FIND_FRIENDS,Ми збираємося відправити тебе куди-небудь за межі Brawl Stars
TID_KAKAO_ACCOUNT_BIND_INFO_TITLE,ЧЕМПІОНАТ CHALLENGE розпочався!
TID_KAKAO_ACCOUNT_BIND_INFO,ЧЕМПІОНАТ CHALLENGE скоро закінчиться. Ви все ще можете перемогти його!
TID_HERO_SCREEN_ITEM,"КУБОК ПСЖ стартував! Переможете її, щоб виграти безкоштовний скін!"
TID_HERO_SCREEN_STAR_POWER,"КУБОК ПСЖ підходить до кінця. У вас ще є час, щоб виграти його!"
TID_TYPE_AGE_GATE_EXT_URL_TITLE,<ДЗВІНОК> розпочався!
TID_TYPE_AGE_GATE_EXT_URL_TEXT,"<ДЗВІНОК> ось-ось закінчиться. У вас ще є час, щоб виграти його!"
TID_NOTIFICATION_CC_STARTED,Доступна нова карта захоплення ДОРОГОЦІННИХ каменів! Приходьте отримувати нові нагороди!
TID_NOTIFICATION_CC_ENDING,ПОГРАБУВАННЯ доступно! Час виграти нові нагороди!
TID_NOTIFICATION_PSG_STARTED,БАУНТІ доступний! Час виграти нові нагороди!
TID_NOTIFICATION_PSG_ENDING,Нова карта BRAWL BALL відкрита! Час виграти нові нагороди!
TID_NOTIFICATION_CHALLENGE_STARTED,"Нова карта РОЗТИНУ відкрита! Будь останнім, хто виживе!"
TID_NOTIFICATION_CHALLENGE_ENDING,Відкрилася ВЕЛИКА ГРА! Відмінні нагороди доступні!
TID_NOTIFICATION_COIN_RUSH,РОБО ГУРКІТ розпочався! Перемагайте ботів і вигравайте нагороди!
TID_NOTIFICATION_ATTACK_DEFEND,БОС БІЙ повернувся! Як далеко ви можете зайти?
TID_NOTIFICATION_BOUNTY_HUNTER,ОБЛОГА доступна! Час виграти нові нагороди!
TID_NOTIFICATION_LASER_BALL,Нова карта ТЕЙКДАУНА відкрита! Час виграти нові нагороди!
TID_NOTIFICATION_BATTLE_ROYAL,Нова карта САМОТНЬОЇ ЗІРКИ відкрита! Час виграти нові нагороди!
TID_NOTIFICATION_BOSS,Нове СПРАВЖНЄ ПОГРАБУВАННЯ відкрито! Час виграти нові нагороди!
TID_NOTIFICATION_COOP,Доступна нова карта ГАРЯЧОЇ ЗОНИ! Час виграти нові нагороди!
TID_NOTIFICATION_RAID_BOSS,БОС БІЙ повернувся! Як далеко ви можете зайти?
